id,clvcuenca,cuenca,clvrha,clvrh,fechadof,fechacorte,subregion,cp,ar,uc,r,im,ex,ev,av,ab,rxy,d,idcatclasificacion,clasificacion,anio
992,"1104","La Tapona","III","RH011","2020-09-21","2020-02-04Z","",139.912,0,2.545,0.678,0,0,0,0,138.046,13.29,124.756,2,"Con disponibilidad",2020
998,"1105","Río La Sauceda","III","RH011","2020-09-21","2020-02-04Z","",141.962,0,22.816,4.576,0,0,33.96,2.584,87.178,85.113,2.065,2,"Con disponibilidad",2020
1006,"1106","Río El Tunal","III","RH011","2020-09-21","2020-02-04Z","",138.578,0,53.291,0.842,0,0,7.315,1.139,77.675,75.835,1.84,2,"Con disponibilidad",2020
1013,"1107","Río Santiago Bayacora","III","RH011","2020-09-21","2020-02-04Z","",90.856,0,50.21,4.782,0,0,7.327,1.338,36.763,35.892,0.871,2,"Con disponibilidad",2020
1019,"1108","Río Durango","III","RH011","2020-09-21","2020-02-04Z","",112.771,201.617,91.848,28.52,0,0,0,0,251.06,242.937,8.123,2,"Con disponibilidad",2020
1029,"1109","Río Poanas","III","RH011","2020-09-21","2020-02-04Z","",64.35,0,35.489,7.1,0,0,5.762,1.52,28.679,27.751,0.928,2,"Con disponibilidad",2020
1033,"1110","Río Suchil","III","RH011","2020-09-21","2020-02-04Z","",36.667,0,15.088,3.102,0,0,0,0,24.681,23.883,0.799,2,"Con disponibilidad",2020
1045,"1111","Río Graseros","III","RH011","2020-09-21","2020-02-04Z","",15.534,0,0.133,0.024,0,0,0,0,15.425,14.926,0.499,2,"Con disponibilidad",2020
1052,"1112","Río San Pedro-Mezquital","III","RH011","2020-09-21","2020-02-04Z","",2245.054,319.845,2029.822,5.566,0,0,0,0,540.642,457.477,83.165,2,"Con disponibilidad",2020
1053,"1113","Río San Pedro-Desembocadura","III","RH011","2020-09-21","2020-02-04Z","",269.663,540.642,59.495,1974.176,0,0,0,0,2724.986,2296.66,428.326,2,"Con disponibilidad",2020
